Name,Before,After,Difference,Done?
weebreezy,3330,3560,230,
dunt_27,3320,3440,120,
temp_lee,3270,3340,70,
missanarchyk,3250,3330,80,
kingkane111,3220,3230,10,
0_supa,3220,5120,1900,
420f1tc00l,3160,5690,2530,
3dskie,3120,3130,10,
ragexskuller,3110,4170,1060,
para42eu,3080,3840,760,
justiraj,3060,3070,10,
salahmanjaro,3020,3660,640,
klipz,3020,3610,590,
broostubegamingjj,3020,3300,280,
itzcavzie,2970,3090,120,
therealleogaming,2960,3580,620,
nxzvnnn,2930,2960,30,
notoriousgaming24,2930,3960,1030,
ollyisturnt,2880,2970,90,
h1ghdoom,2830,4210,1380,
fnsanonymous,2830,2840,10,
kurrilol,2820,2830,10,
finmgmt,2760,2950,190,
fifaruban,2700,2800,100,
uncle_spawn,2670,5110,2440,
mjcmatthew,2670,2900,230,
milxno_1,2650,2660,10,
dubydom,2630,2640,10,
alfbelf20,2620,2850,230,
itzbrackishd,2610,2630,20,
castleofcheese,2610,4740,2130,
heatedcorn,2590,2640,50,
98jee,2540,3090,550,
head_sshot,2480,2600,120,
devlin69yea,2460,4790,2330,
braderz17yt,2460,3040,580,
rabbitatheart,2350,2700,350,
pahk___,2330,3380,1050,
kingrifty3,2320,2420,100,
chloexabigailx,2320,2520,200,
no_intros,2280,2290,10,
blkheroeseverywhere,2280,4750,2470,
g1f_,2260,2310,50,
justtattooed,2200,3850,1650,
h0ulie,2190,2220,30,
patrickfromabove,2160,2320,160,
jessyspineapple,2130,2150,20,
jchamp2,2110,2590,480,
olivialovesmerl,2060,3370,1310,
keyatron,2040,3480,1440,
emilyyxo4,2030,4200,2170,
chaappers,2020,2050,30,
entityy_,2010,2040,30,
fmplaya,1990,2030,40,
shkey__,1960,2010,50,
neashftw,1950,2060,110,
pizo,1860,1870,10,
sirdrippytv,1850,2100,250,
buddhaz69,1850,1860,10,
troyouno,1840,1850,10,
itsjaysoto,1820,1860,40,
whiteleyy_,1780,3230,1450,
thehawayman,1780,1790,10,
saedmyatt,1770,1780,10,
mewess,1770,1780,10,
scales3837,1760,2010,250,
askrwayy,1760,2120,360,
d4rklew99,1720,2340,620,
itscarna,1650,1900,250,
fifa_king1122,1650,1690,40,
prxbes,1640,1650,10,
iloveyooooooooou,1610,2470,860,
de4theye,1610,1620,10,
nathan_dr_,1600,1610,10,
lawtender,1600,1640,40,
robbieboofn,1590,1610,20,
itzflooow,1590,1630,40,
codelife,1590,1600,10,
alphavargr,1570,1580,10,
tokyoxwolf,1550,1610,60,
kind055fly,1530,1790,260,
mfuel1,1520,1630,110,
officialspunky,1510,1560,50,
chrissy1420,1510,2120,610,
rafe199,1500,2260,760,
kingquackatac,1490,3090,1600,
amaan234987,1490,1510,20,
sspytex,1480,2760,1280,
ribbit_anime,1480,1930,450,
en3ru,1480,1850,370,
harry__gg,1460,2280,820,
courts1134,1460,1510,50,
wpfid5555,1450,1730,280,
jorifij_alt,1440,2220,780,
j05hua_jones_teague,1430,1900,470,
viewer_of_irl,1420,3860,2440,
c9clipz,1420,1430,10,
alex2kettell,1420,1880,460,
sophie_fosterxx,1410,1440,30,
revolutionarymonkey,1410,1430,20,
grritzz,1400,1420,20,
itscrank,1380,1390,10,
slayy,1370,2010,640,
nabtab,1370,1380,10,
joshr14_,1360,1430,70,
ghxstiyy_,1360,3630,2270,
txpizfn,1350,2400,1050,
roxesy,1340,3390,2050,
watermelonx2twins,1320,1350,30,
sully2825,1300,1310,10,
dujepro,1300,1380,80,
jasonwestt,1290,2100,810,
beardedstrumerwaitingroom,1290,3760,2470,
rimzix,1280,1430,150,
mrelav_,1280,1540,260,
boristas96,1280,1560,280,
hybridlive_,1270,1790,520,
dimensionquack,1260,1690,430,
aliceydra,1260,3820,2560,
flithyss,1240,1610,370,
bluhazy,1240,1320,80,
adumamum,1240,2500,1260,
chapisaqt,1220,1230,10,
smokeeater80,1210,1890,680,
sully466,1200,1210,10,
blitz_oliver05am100,1190,1630,440,
ybnfrow,1180,1190,10,
jtmyng,1180,1220,40,
fireboy24518,1180,1200,20,
catfull,1170,1180,10,
heelkd,1160,3120,1960,
bogbbog,1160,1210,50,
patfrombklyn,1140,1240,100,
teqqqyy,1090,2210,1120,
yooslurpy,1080,1090,10,
harrystreams_,1070,1090,20,
lola_ej30,1060,1410,350,
luckyjaay,1050,2670,1620,
chucjk_,1050,1090,40,
yaycake2,1040,1060,20,
kuno5x,1020,1030,10,
mama_games_on_grounded,1000,1010,10,
raoishere,990,1000,10,
fishkido,970,4890,3920,
nikinikk_bg,960,970,10,
kadencolt,960,970,10,
frw33ds_kitten,950,3460,2510,
chumieychum,930,1000,70,
mason0766,900,910,10,
gxrdy,900,1040,140,
flapjackieofficial,900,930,30,
buelive,900,920,20,
gavlagaming,890,900,10,
fgcounterbot,880,930,50,
nickiibunny,870,880,10,
supernoodlebagel,860,870,10,
ffxivstyx,860,3350,2490,
postboxpat,850,2190,1340,
the1jaren,840,1420,580,
gootzy05,840,870,30,
crillboplays,840,980,140,
chipedit,840,880,40,
casson,840,870,30,
randomfunk201,830,840,10,
dark782ness,830,840,10,
therisingmiles,820,860,40,
ragsiboy9yt,810,940,130,
jexxstar,810,920,110,
vector_hitman,800,1170,370,
trooperkoopa,800,2400,1600,
doodlerude,790,990,200,
usecodespliff,780,940,160,
bidasalt,780,800,20,
toastyog,760,780,20,
muiziy,760,1690,930,
thatweirdguyfromschool_9,750,1040,290,
jamesbd19,750,800,50,
gamer09_yt,720,770,50,
aidenstevenson,710,720,10,
cool_king_devin,700,1130,430,
rjmplayz,690,730,40,
j4ked3v,690,700,10,
mathiasss_r,680,690,10,
galixcey,680,690,10,
blazeeditss,680,1130,450,
trippyintellect,670,1210,540,
ldeep,660,710,50,
katemush,650,660,10,
gameboiboy,650,700,50,
afroaesthetics,650,810,160,
zyzerr,640,650,10,
bashfuul,630,640,10,
jaydondidit,620,3100,2480,
denzzyb,620,660,40,
c0mbat_barbie,620,1730,1110,
bob_069_,620,730,110,
moai_live,600,610,10,
dannybartok,590,600,10,
xunknown52x,580,660,80,
stripelol_,580,840,260,
k1ngwassadlytaken,580,890,310,
lisinfilm,570,580,10,
frankobeann,570,780,210,
sceptoruk,550,580,30,
jxmes,550,2710,2160,
natan2x,540,550,10,
khhalil07,540,560,20,
suso_dxp,530,620,90,
mayostreamsxx,530,590,60,
highfivefoxy,530,540,10,
bigboykadz1,530,2120,1590,
bhwilson_,530,610,80,
16draco,530,890,360,
yolodisorder,520,2630,2110,
angus908,520,530,10,
juxtgaming,510,590,80,
brianthelegendary,500,520,20,
volorep,480,520,40,
juoshush,480,560,80,
fortnitekid20_,480,630,150,
abelive_,480,510,30,
offside_flame,470,480,10,
jackstervila,470,480,10,
davidbtww_,470,1400,930,
ac3v3tur4,470,1230,760,
subietay,460,520,60,
rosyamya,460,730,270,
lylituf,460,880,420,
